1,luzquartomargaridaduplo|luzquartomargaridaaviao,192.168.1.50,admin,,bulb_1,1
2,luzquartomargaridawc,192.168.1.51,admin,,bulb_1,2
3,congelador,192.168.1.52,admin,,bulb_1,3
4,maquina-roupa,192.168.1.53,admin,,bulb_1,4
5,luzquartomargaridasimples,192.168.1.54,admin,,bulb_1,5
6,tvbox,192.168.1.55,admin,,bulb_1,6
7,acsala,192.168.1.56,admin,,bulb_1,7
8,maquina-loica,192.168.1.57,admin,,bulb_1,8
9,maquina-secar,192.168.1.58,admin,,bulb_1,9
